1.5 - Principales alturas por provincias y grandes unidades y subunidades del relieve ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,Metros
        ,,,,
,,,,
PROVINCIAS,Altura absoluta sobre,,PROVINCIAS,Altura absoluta sobre
REGIONES NATURALES,el nivel medio del mar,,REGIONES NATURALES,el nivel medio del mar
,,,,
,,,,
Pinar del Río,,,Ciego de Ávila,
 Cordillera de Guaniguanico,,, Alturas del Norte de Cuba Central,
Sierra del Rosario,,,    Sierra de Jatibonico,"       443,0 (a)"
      Loma de Seboruco,672.7,, Sierra Judas,
Sierra de los Órganos,,,      Loma Cunagua,332
      Mogote El Americano,616.4,,Camagüey,
Artemisa,,, Llanura del Norte de Camagüey-Las Tunas,
 Cordillera de Guaniguanico,,,   Sierra de Cubitas,
   Sierra del Rosario,,,     Cerro Tuabaquey,"       330,0 (a)"
     Pan de Guajaibón,700.1,,   Sierra de Najasa,
     Loma de El Toro,678,,     Sierra del Chorrillo,"       324,0 (a)"
La Habana ,,,Las Tunas,
  Alturas de Bejucal-Madruga-Coliseo,,,  Llanura del Norte de Camagüey-Las Tunas,
     Tetas de Managua,219.6,,     Alturas de Cañada Honda,219
Mayabeque,,,Holguín,
  Alturas de La Habana-Matanzas,,,  Montañas de Nipe-Sagua-Baracoa,
     El Palenque,330.5,,   Sierra del Cristal,
  Alturas de Bejucal-Madruga-Coliseo,,,     Pico Cristal,1231
     Sierra del Grillo,317,,   Altiplanicie de Nipe,
Matanzas,,,     Loma de Mensura,995
  Alturas de La Habana-Matanzas,,,Granma,
     Pan de Matanzas,381,,  Sierra  Maestra,
  Alturas de Bejucal-Madruga-Coliseo,,,   Sierra del Turquino,
    Loma de Jacán,316,,   Pico  Bayamesa,1756
Villa Clara,,,   Pico Martí,1722
  Montañas de Guamuhaya,,,   Pico Palma  Mocha,1388
  Montañas de Trinidad,,,   Pico Caracas,1234
     Pico Tuerto,923.1,,Santiago de Cuba,
Cienfuegos,,,  Sierra Maestra,
  Montañas de Guamuhaya,,,    Pico Real del Turquino,"      1 974,0 (a)"
   Montañas de Trinidad,,,    Pico Cuba,"      1 874,0 (a)"
     Pico San Juan ,"      1 140,0 (a)",,    Pico Suecia,"      1 734,0 (a)"
Sancti Spíritus,,,  Sierra de la Gran Piedra,
  Montañas de Guamuhaya,,,    La  Gran Piedra,1226
   Montañas de Trinidad,,,Guantánamo,
     Pico Potrerillo,931,,  Montañas de Nipe-Sagua-Baracoa,
   Montañas de Sancti Spíritus,,,   Sierra del Purial,
     Lomas de Banao,"       842,0 (a)",,     Pico El Gato,"      1 184,0 (a)"
,,,Isla de la Juventud,
,,,  Sierra de la Cañada,"       302,9 (a)"
,,,  Sierra de Caballos,"       289,0 (a)"
,,,,
,,,,
(a) Altura del punto culminante.,,,,
"Fuente: Nomenclador de nombres geográficos normalizados de Cuba, año 2000 y mapas topográficos a escala ",,,,
               1:25 000 normalizados de la República de Cuba.,,,,
