1.6 - Principales ríos ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,,,,,,
,,    Longitud,,,,      Longitud
RÍOS / PROVINCIAS,Vertiente,       (km),,RÍOS / PROVINCIAS,Vertiente,         (km)
,,,,,,
,,,,,,
Mantua - Pinar del Río ,Norte,69,,San Cristóbal - Artemisa                       ,Sur,61.9
Mani-Mani - Artemisa,Norte,43.3,,Mayabeque -  Mayabeque        ,Sur,52.9
Almendares - La Habana              ,Norte,49.8,,Hanábana - Matanzas                ,Sur,111
Jaruco - Mayabeque,Norte,31,,Arimao - Cienfuegos                                ,Sur,82.6
La Palma - Matanzas                       ,Norte,71,,Caunao - Cienfuegos                               ,Sur,53.9
Sagua la Grande - Villa Clara                ,Norte,163,,Zaza - Sancti Spíritus                              ,Sur,155
Sagua la Chica - Villa Clara                   ,Norte,91,,Agabama - Sancti Spíritus                   ,Sur,122
Jatibonico del Norte - Sancti Spíritus                 ,Norte,66.6,,Jatibonico del Sur - Sancti Spíritus                 ,Sur,119.5
Chambas - Ciego de Ávila,Norte,68.3,,Majagua - Ciego de Ávila,Sur,72
Caonao - Camagüey,Norte,154.9,,San Pedro - Camagüey,Sur,137.2
Chaparra - Las Tunas,Norte,22.6,,Las Yeguas - Camagüey,Sur,102.6
Mayarí - Holguín,Norte,107,,Tana - Las Tunas,Sur,68.9
Sagua de Tánamo - Holguín,Norte,89.2,,Jobabo - Las Tunas,Sur,66.1
Nipe - Holguín,Norte,55.5,,Salado - Holguín,Sur,121
Contramaestre - Santiago de Cuba,Norte,81,,Cauto - Granma,Sur,343
Toa - Guantánamo,Norte,116.2,,Bayamo - Granma,Sur,115
Las Nuevas - Isla de la Juventud,Norte,28,,Baconao - Santiago de Cuba,Sur,73.8
Cuyaguateje - Pinar del Río                      ,Sur,112.4,,Guantánamo - Guantánamo,Sur,105
Hondo - Pinar del Río                               ,Sur,98.4,,Yateras - Guantánamo,Sur,78.1
Ajiconal - Pinar del Río                         ,Sur,83,,,,
,,,,,,
,,,,,,
Fuente: Instituto Nacional de Recursos Hidráulicos.,,,,,,
