X.7 - Principales medidas ejecutadas para detener y contrarrestar los procesos degradativos del suelo.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Periodo ,,,,Magnitud 
Factor limitante,Medidas,,,,,,,,de,,,,de la
,,,,,,,,,ejecución,,,,ejecución
,,,,,,,,,,,,,
,,,,,,,,,,,,,
  Erosión,Ejecución de medidas sencillas antierosivas,,,,,,,,86-99,,,,839.60 Mha
  Salinidad,Control de la calidad del agua de riego,,,,,,,,86-99,,,,23396 fuentes
,Aplicación de yeso.,,,,,,,,87-89,,,,1.68 Mt
  Compactación,,,,,,,,,,,,,
  Acidez,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
X.8 - Clasificación genética de los suelos de Cuba.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Tipo de suelo,,,Extención,,,,Ubicación aproximada,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ferrítico y ferralítico,,,2.22,,"Pinar del Rio, La Habana, Matanzas, Ciego de Avila, Camagüey, Holguín,.",,,,,,,,
Fersialítico,,,1,,Todo el  territorio.,,,,,,,,
Fersialítico y pardo (sialítico),,,2.52,,Todo el  territorio.,,,,,,,,
Húmico calcimórfico,,,0.45,,"La Habana, Villa Clara, Camagüey, Holguín, Santiago de Cuba, Guantánamo.",,,,,,,,
Vertisuelo,,,1.05,,"Villa Clara, Camagüey, Holguín, Las Tunas, Santiago de Cuba, Guantánamo.",,,,,,,,
Hidromórfico,,,0.32,,Todo el  territorio.,,,,,,,,
Halomórfico,,,0.05,,"Pinar del Rio, Holguín, Granme,Guantánamo.",,,,,,,,
Aluviales,,,0.44,,Todo el  territorio.,,,,,,,,
Poco desarrollados,,,0.26,,Todo el  territorio.,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
/FRCONSTINV~,,,,,,,,,,,,,
/PPRA3..K93~AGPQ~,,,,,,,,,,,,,
